index,Year,Month,State,Species,Location,normalized_food,Illnesses,Hospitalizations,Fatalities,Are_there_Hospitalizations,Are_there_Fatalities,Log_Illnesses,Most_common_Location,Most_common_Species
0,2009,January,MN,norovirus,restaurant - sit-down dining,cooky,2.0,0.0,0.0,0,0,0.6931471805599453,restaurant - sit-down dining,norovirus
1,2009,January,MN,norovirus,restaurant - sit-down dining,cooky,16.0,0.0,0.0,0,0,2.772588722239781,restaurant - sit-down dining,norovirus
2,2009,January,MN,norovirus,restaurant - sit-down dining,cooky,5.0,0.0,0.0,0,0,1.6094379124341003,restaurant - sit-down dining,norovirus
3,2009,January,MN,norovirus,"restaurant - ""fast-food""(drive up service or pay at counter)",cooky,3.0,0.0,0.0,0,0,1.0986122886681098,"restaurant - ""fast-food""(drive up service or pay at counter)",norovirus
4,2009,January,MN,norovirus,restaurant - other or unknown type,cooky,21.0,0.0,0.0,0,0,3.044522437723423,restaurant - other or unknown type,norovirus
5,2009,January,MN,norovirus,restaurant - other or unknown type,salad,7.0,0.0,0.0,0,0,1.9459101490553132,restaurant - other or unknown type,norovirus
6,2009,February,MN,norovirus,restaurant - other or unknown type,fruit mushroom pasta salad,5.0,0.0,0.0,0,0,1.6094379124341003,restaurant - other or unknown type,norovirus
7,2009,February,MN,norovirus genogroup ii,restaurant - other or unknown type,fruit mushroom pasta salad,22.0,1.0,0.0,1,0,3.091042453358316,restaurant - other or unknown type,norovirus genogroup ii
8,2009,February,MN,norovirus,restaurant - other or unknown type,vegetable,16.0,0.0,0.0,0,0,2.772588722239781,restaurant - other or unknown type,norovirus
9,2009,February,MN,campylobacter jejuni,restaurant - other or unknown type,lettuce,11.0,2.0,0.0,1,0,2.3978952727983707,restaurant - other or unknown type,campylobacter jejuni
10,2009,February,MN,norovirus,restaurant - sit-down dining,rice white,6.0,0.0,0.0,0,0,1.791759469228055,restaurant - sit-down dining,norovirus
11,2009,February,AK,norovirus genogroup i; norovirus genogroup ii,private home/residence,rice white,35.0,0.0,0.0,0,0,3.5553480614894135,private home/residence,bulk_Species
12,2009,January,AL,bacillus cereus,restaurant - sit-down dining,rice white,13.0,0.0,0.0,0,0,2.5649493574615367,restaurant - sit-down dining,bacillus cereus
13,2009,January,IL,norovirus genogroup ii,restaurant - sit-down dining,cake chocolate,6.0,0.0,0.0,0,0,1.791759469228055,restaurant - sit-down dining,norovirus genogroup ii
14,2009,January,IL,norovirus genogroup ii,restaurant - sit-down dining,cake chocolate,23.0,0.0,0.0,0,0,3.1354942159291497,restaurant - sit-down dining,norovirus genogroup ii
15,2009,January,IL,norovirus genogroup ii,restaurant - other or unknown type,cake chocolate,4.0,0.0,0.0,0,0,1.3862943611198906,restaurant - other or unknown type,norovirus genogroup ii
16,2009,January,IL,norovirus genogroup ii,caterer (food prepared off-site from where served),cake chocolate,31.0,0.0,0.0,0,0,3.4339872044851463,caterer (food prepared off-site from where served),norovirus genogroup ii
17,2009,January,IL,norovirus genogroup ii,restaurant - other or unknown type,cake chocolate,26.0,1.0,0.0,1,0,3.258096538021482,restaurant - other or unknown type,norovirus genogroup ii
18,2009,January,IL,salmonella enterica,restaurant - other or unknown type,chicken salad,2.0,0.0,0.0,0,0,0.6931471805599453,restaurant - other or unknown type,salmonella enterica
19,2009,January,IL,salmonella enterica,restaurant - other or unknown type,chicken salad,4.0,0.0,0.0,0,0,1.3862943611198906,restaurant - other or unknown type,salmonella enterica
20,2009,January,IL,salmonella enterica,grocery store; other,chicken salad,7.0,2.0,0.0,1,0,1.9459101490553132,bulk_Location,salmonella enterica
21,2009,January,IL,norovirus genogroup ii,restaurant - sit-down dining,chicken salad,16.0,0.0,0.0,0,0,2.772588722239781,restaurant - sit-down dining,norovirus genogroup ii
22,2009,January,IL,norovirus genogroup ii,restaurant - other or unknown type,chicken salad,5.0,0.0,0.0,0,0,1.6094379124341003,restaurant - other or unknown type,norovirus genogroup ii
23,2009,February,IL,norovirus genogroup ii,other,chicken salad,51.0,0.0,0.0,0,0,3.9318256327243257,other,norovirus genogroup ii
24,2009,February,IL,norovirus genogroup ii,restaurant - sit-down dining,chicken salad,10.0,0.0,0.0,0,0,2.302585092994046,restaurant - sit-down dining,norovirus genogroup ii
25,2009,February,IL,norovirus genogroup ii,restaurant - other or unknown type,chicken salad,3.0,0.0,0.0,0,0,1.0986122886681098,restaurant - other or unknown type,norovirus genogroup ii
26,2009,February,IL,norovirus genogroup ii,restaurant - other or unknown type,chicken salad,5.0,0.0,0.0,0,0,1.6094379124341003,restaurant - other or unknown type,norovirus genogroup ii
27,2009,February,IL,norovirus genogroup ii,restaurant - other or unknown type,chicken salad,13.0,0.0,0.0,0,0,2.5649493574615367,restaurant - other or unknown type,norovirus genogroup ii
28,2009,March,IL,norovirus genogroup ii,other,chicken salad,2.0,0.0,0.0,0,0,0.6931471805599453,other,norovirus genogroup ii
29,2009,March,IL,norovirus genogroup ii,caterer (food prepared off-site from where served); restaurant - sit-down dining,chicken salad,22.0,1.0,0.0,1,0,3.091042453358316,bulk_Location,norovirus genogroup ii
30,2009,January,PA,campylobacter jejuni,other,milk whole milk unpasteurized,9.0,1.0,0.0,1,0,2.1972245773362196,other,campylobacter jejuni
31,2009,January,TN,norovirus genogroup i,grocery store,cake,8.0,1.0,0.0,1,0,2.0794415416798357,grocery store,norovirus genogroup i
32,2009,March,TN,norovirus genogroup i,restaurant - sit-down dining,oyster raw,9.0,0.0,0.0,0,0,2.1972245773362196,restaurant - sit-down dining,norovirus genogroup i
